,Company,Site URL,Site Map
501,CMX Gold & Silver Corp,https://cmxgoldandsilver.com/,https://cmxgoldandsilver.com/sitemap.xml
502,CNRP Mining Inc,https://www.newsfilecorp.com/company/2677/CNRP-Mining-Inc.,https://www.newsfilecorp.com/company/2677/CNRP-Mining-Inc.sitemap.xml
503,Coast Copper Corp,https://coastcoppercorp.com/,https://coastcoppercorp.com/sitemap.xml
504,Coast Mountain Resources (2020) Ltd,https://www.graniteconstruction.com/materials/coast-mountain-resources-2020-ltd,https://www.graniteconstruction.com/materials/coast-mountain-resources-2020-ltdsitemap.xml
505,Coastal Gold Corp,https://www.northernminer.com/company/025046138/,https://www.northernminer.com/company/025046138/sitemap.xml
506,Cobalt 27 Capital Corp,https://www.northernminer.com/company/cobalt-27-capital-corp/,https://www.northernminer.com/company/cobalt-27-capital-corp/sitemap.xml
507,Cobalt Coal Ltd,https://www.northernminer.com/company/083742497/,https://www.northernminer.com/company/083742497/sitemap.xml
508,Coilpac 2010 Inc,https://www.dnb.com/business-directory/company-profiles.coilpac_2010_inc.af7641e4df877c2b3364fa828ce6c3fc.html,https://www.dnb.com/business-directory/company-profiles.coilpac_2010_inc.af7641e4df877c2b3364fa828ce6c3fc.htmlsitemap.xml
509,Collective Mining Inc,https://www.collectivemining.com/,https://www.collectivemining.com/sitemap.xml
510,Colonial Coal International Corp,https://www.ccoal.ca/,https://www.ccoal.ca/sitemap.xml
511,Colossus Minerals Inc,https://ca.linkedin.com/company/colossus-minerals-inc-,https://ca.linkedin.com/company/colossus-minerals-inc-sitemap.xml
512,Colossus Resources Corp,https://colossusresources.com/,https://colossusresources.com/sitemap.xml
513,Colt Resources Inc,https://www.northernminer.com/company/060697368/,https://www.northernminer.com/company/060697368/sitemap.xml
514,Columbus Copper Corporation,https://www.northernminer.com/company/065166714/,https://www.northernminer.com/company/065166714/sitemap.xml
515,Columbus Energy Ltd,https://www.dnb.com/business-directory/company-profiles.columbus_energy_limited.b66c421e07c5431007f744ecfcf97f06.html,https://www.dnb.com/business-directory/company-profiles.columbus_energy_limited.b66c421e07c5431007f744ecfcf97f06.htmlsitemap.xml
516,Comet Lithium Corp,https://cometlithium.com/,https://cometlithium.com/sitemap.xml
517,Cominco Ltd,https://republicofmining.com/2015/05/07/cominco-ltd-history-1906-2001/,https://republicofmining.com/2015/05/07/cominco-ltd-history-1906-2001/sitemap.xml
518,Commander Resources Ltd,https://commanderresources.com/,https://commanderresources.com/sitemap.xml
519,Commerce Resources Corp,https://commerceresources.com/,https://commerceresources.com/sitemap.xml
520,Commercial Solutions Inc,https://ca.linkedin.com/company/commercial-solutions-inc,https://ca.linkedin.com/company/commercial-solutions-incsitemap.xml
521,Compass Directional Services Ltd,https://compassdirectional.com/,https://compassdirectional.com/sitemap.xml
522,Comstock Metals Ltd,https://www.comstock-metals.com/,https://www.comstock-metals.com/sitemap.xml
523,Condor Resources Inc,https://condorresources.com/,https://condorresources.com/sitemap.xml
524,Consolidated Lithium Metals Inc,https://consolidatedlithium.com/,https://consolidatedlithium.com/sitemap.xml
525,Consolidated Puma Minerals Corp,https://www.northernminer.com/company/025047186/,https://www.northernminer.com/company/025047186/sitemap.xml
526,Consolidated Thompson Iron Mines Limited,https://www.northernminer.com/company/025047318/,https://www.northernminer.com/company/025047318/sitemap.xml
527,Consolidated Uranium Inc,https://consolidateduranium.com/,https://consolidateduranium.com/sitemap.xml
528,Consolidated Westview Resource Corp,https://www.northernminer.com/company/025047392/,https://www.northernminer.com/company/025047392/sitemap.xml
529,Consolidated Woodjam Copper Corp,https://www.newswire.ca/news-releases/vizsla-copper-completes-acquisition-of-consolidated-woodjam-863003449.html,https://www.newswire.ca/news-releases/vizsla-copper-completes-acquisition-of-consolidated-woodjam-863003449.htmlsitemap.xml
530,CON-SPACE Communications Ltd,https://www.ohscanada.com/products/con-space-experiences-increased-sales-in-booming-mining-industry/,https://www.ohscanada.com/products/con-space-experiences-increased-sales-in-booming-mining-industry/sitemap.xml
531,Constantine Metal Resources Ltd,https://americanpacificmining.com/news-releases-2022/american-pacific-mining-completes-acquisition-of-constantine-metal-resources/,https://americanpacificmining.com/news-releases-2022/american-pacific-mining-completes-acquisition-of-constantine-metal-resources/sitemap.xml
532,Contact Diamond Corporation,https://www.canadianminingjournal.com/news/corporate-name-change-contact-diamond-corp-launched/,https://www.canadianminingjournal.com/news/corporate-name-change-contact-diamond-corp-launched/sitemap.xml
533,Contact Gold Corp,https://www.contactgold.com/,https://www.contactgold.com/sitemap.xml
534,Continental Gold Inc,https://www.continentalgold.com/en/,https://www.continentalgold.com/en/sitemap.xml
535,Continental Minerals Corp,https://www.northernminer.com/company/025047417/,https://www.northernminer.com/company/025047417/sitemap.xml
536,Conuma Coal Resources Ltd,https://conumaresources.com/,https://conumaresources.com/sitemap.xml
537,Copaur Minerals Inc,https://copaur.com/,https://copaur.com/sitemap.xml
538,Copper Bullet Mines Inc,https://www.copperbulletmines.com/,https://www.copperbulletmines.com/sitemap.xml
539,Copper Creek Ventures Ltd,http://www.24hgold.com/english/company-gold-silver-copper-creek-ventures.aspx?id=23026270E6680&market=CPV.V,http://www.24hgold.com/english/company-gold-silver-copper-creek-ventures.aspx?id=23026270E6680&market=CPV.Vsitemap.xml
540,Copper Fox Metals Inc,https://copperfoxmetals.com/,https://copperfoxmetals.com/sitemap.xml
541,Copper King Resources Corp,https://www.bloomberg.com/profile/company/2013021D:CN,https://www.bloomberg.com/profile/company/2013021D:CNsitemap.xml
